frame	subF	slot	rnti	firstSym	numSym	type	tddMode	retxNum	ccId
13	8	1	0	13	1	2	2	0	0
13	8	2	0	13	1	2	2	0	0
13	8	3	0	13	1	2	2	0	0
13	9	0	0	13	1	2	2	0	0
13	9	1	0	13	1	2	2	0	0
13	9	2	0	13	1	2	2	0	0
13	9	3	0	13	1	2	2	0	0
14	0	0	0	13	1	2	2	0	0
14	0	1	0	13	1	2	2	0	0
14	0	2	0	13	1	2	2	0	0
14	0	3	0	13	1	2	2	0	0
14	1	0	0	13	1	2	2	0	0
14	1	1	0	13	1	2	2	0	0
14	1	2	0	13	1	2	2	0	0
14	1	3	0	13	1	2	2	0	0
14	2	0	0	13	1	2	2	0	0
14	2	1	0	13	1	2	2	0	0
14	2	2	0	13	1	2	2	0	0
14	2	3	0	13	1	2	2	0	0
14	3	0	0	13	1	2	2	0	0
14	3	1	0	13	1	2	2	0	0
14	3	2	0	13	1	2	2	0	0
14	3	3	0	13	1	2	2	0	0
14	4	0	0	13	1	2	2	0	0
14	4	1	0	13	1	2	2	0	0
14	4	2	0	13	1	2	2	0	0
14	4	3	0	13	1	2	2	0	0
14	5	0	0	13	1	2	2	0	0
14	5	1	0	13	1	2	2	0	0
14	5	2	0	13	1	2	2	0	0
14	5	3	0	13	1	2	2	0	0
14	6	0	0	13	1	2	2	0	0
14	6	1	0	13	1	2	2	0	0
14	6	2	0	13	1	2	2	0	0
14	6	3	0	13	1	2	2	0	0
14	7	0	0	13	1	2	2	0	0
14	7	1	0	13	1	2	2	0	0
14	7	2	0	13	1	2	2	0	0
14	7	3	0	13	1	2	2	0	0
14	8	0	0	13	1	2	2	0	0
14	8	1	0	13	1	2	2	0	0
14	8	2	0	13	1	2	2	0	0
14	8	3	0	13	1	2	2	0	0
14	9	0	0	13	1	2	2	0	0
14	9	1	0	13	1	2	2	0	0
14	9	2	0	13	1	2	2	0	0
14	9	3	0	13	1	2	2	0	0
15	0	0	0	13	1	2	2	0	0
15	0	1	0	13	1	2	2	0	0
15	0	2	0	13	1	2	2	0	0
15	0	3	0	13	1	2	2	0	0
15	1	0	0	13	1	2	2	0	0
15	1	1	0	13	1	2	2	0	0
15	1	2	0	13	1	2	2	0	0
15	1	3	0	13	1	2	2	0	0
15	2	0	0	13	1	2	2	0	0
15	2	1	0	13	1	2	2	0	0
15	2	2	0	13	1	2	2	0	0
15	2	3	0	13	1	2	2	0	0
15	3	0	0	13	1	2	2	0	0
15	3	1	0	13	1	2	2	0	0
15	3	2	0	13	1	2	2	0	0
15	3	3	0	13	1	2	2	0	0
15	4	0	0	13	1	2	2	0	0
15	4	1	0	13	1	2	2	0	0
15	4	2	0	13	1	2	2	0	0
15	4	3	0	13	1	2	2	0	0
15	5	0	0	13	1	2	2	0	0
15	5	1	0	13	1	2	2	0	0
15	5	2	0	13	1	2	2	0	0
15	5	3	0	13	1	2	2	0	0
15	6	0	0	13	1	2	2	0	0
15	6	1	0	13	1	2	2	0	0
15	6	2	0	13	1	2	2	0	0
15	6	3	0	13	1	2	2	0	0
15	7	0	0	13	1	2	2	0	0
15	7	1	0	13	1	2	2	0	0
15	7	2	0	13	1	2	2	0	0
15	7	3	0	13	1	2	2	0	0
15	8	0	0	13	1	2	2	0	0
15	8	1	0	13	1	2	2	0	0
15	8	2	0	13	1	2	2	0	0
15	8	3	0	13	1	2	2	0	0
15	9	0	0	13	1	2	2	0	0
15	9	1	0	13	1	2	2	0	0
15	9	2	0	13	1	2	2	0	0
15	9	3	0	13	1	2	2	0	0
16	0	0	0	13	1	2	2	0	0
16	0	1	0	13	1	2	2	0	0
16	0	2	0	13	1	2	2	0	0
16	0	3	0	13	1	2	2	0	0
16	1	0	0	13	1	2	2	0	0
16	1	1	0	13	1	2	2	0	0
